Date_Key,Division_ID,Product_Group_ID,Region_ID,Customer_Segment_ID,Revenue_EUR,Quantity_Sold,Avg_Selling_Price
20200131,DIV01,PG01,REG01,SEG01,805839.29,13155,61.26
20200131,DIV01,PG01,REG01,SEG02,586955.08,3901,150.46
20200131,DIV01,PG01,REG01,SEG03,304509.92,858,354.91
20200131,DIV01,PG01,REG01,SEG04,308232.68,3458,89.14
20200131,DIV01,PG01,REG02,SEG01,565694.32,8921,63.41
20200131,DIV01,PG01,REG02,SEG02,417327.58,1504,277.48
20200131,DIV01,PG01,REG02,SEG03,205383.17,1472,139.53
20200131,DIV01,PG01,REG02,SEG04,216028.4,731,295.52
20200131,DIV01,PG01,REG03,SEG01,556518.87,1765,315.31
20200131,DIV01,PG01,REG03,SEG02,437506.1,8266,52.93
20200131,DIV01,PG01,REG03,SEG03,218691.38,600,364.49
20200131,DIV01,PG01,REG03,SEG04,210740.63,1756,120.01
20200131,DIV01,PG01,REG04,SEG01,354042.89,1757,201.5
20200131,DIV01,PG01,REG04,SEG02,247816.64,2649,93.55
20200131,DIV01,PG01,REG04,SEG03,131641.85,409,321.86
20200131,DIV01,PG01,REG04,SEG04,131228.24,346,379.27
20200131,DIV01,PG02,REG01,SEG01,799259.76,1638,487.95
20200131,DIV01,PG02,REG01,SEG02,591904.38,1983,298.49
20200131,DIV01,PG02,REG01,SEG03,306731.82,934,328.41
20200131,DIV01,PG02,REG01,SEG04,307504.12,992,309.98
20200131,DIV01,PG02,REG02,SEG01,578566.2,8192,70.63
20200131,DIV01,PG02,REG02,SEG02,417643.87,2317,180.25
20200131,DIV01,PG02,REG02,SEG03,206292.65,1333,154.76
20200131,DIV01,PG02,REG02,SEG04,206654.85,1180,175.13
20200131,DIV01,PG02,REG03,SEG01,575429.07,2686,214.23
20200131,DIV01,PG02,REG03,SEG02,422503.53,2928,144.3
20200131,DIV01,PG02,REG03,SEG03,209489.31,444,471.82
20200131,DIV01,PG02,REG03,SEG04,215996.82,666,324.32
20200131,DIV01,PG02,REG04,SEG01,332564.19,879,378.34
20200131,DIV01,PG02,REG04,SEG02,249264.61,1129,220.78
20200131,DIV01,PG02,REG04,SEG03,133097.15,393,338.67
20200131,DIV01,PG02,REG04,SEG04,128664.79,359,358.4
20200131,DIV01,PG03,REG01,SEG01,818808.87,2051,399.22
20200131,DIV01,PG03,REG01,SEG02,584756.39,9073,64.45
20200131,DIV01,PG03,REG01,SEG03,294444.01,1727,170.49
20200131,DIV01,PG03,REG01,SEG04,291946.28,615,474.71
20200131,DIV01,PG03,REG02,SEG01,586389.78,3060,191.63
20200131,DIV01,PG03,REG02,SEG02,432246.51,1895,228.1
20200131,DIV01,PG03,REG02,SEG03,220548.19,859,256.75
20200131,DIV01,PG03,REG02,SEG04,209453.49,1301,160.99
20200131,DIV01,PG03,REG03,SEG01,572044.7,3400,168.25
20200131,DIV01,PG03,REG03,SEG02,429826.53,946,454.36
20200131,DIV01,PG03,REG03,SEG03,211750.76,1424,148.7
20200131,DIV01,PG03,REG03,SEG04,221965.45,794,279.55
20200131,DIV01,PG03,REG04,SEG01,330372.01,4639,71.22
20200131,DIV01,PG03,REG04,SEG02,248163.04,746,332.66
20200131,DIV01,PG03,REG04,SEG03,131074.04,546,240.06
20200131,DIV01,PG03,REG04,SEG04,123608.94,557,221.92
20200131,DIV02,PG04,REG01,SEG01,552387.14,1917,288.15
20200131,DIV02,PG04,REG01,SEG02,413492.04,945,437.56
20200131,DIV02,PG04,REG01,SEG03,191451.0,511,374.66
20200131,DIV02,PG04,REG01,SEG04,202133.78,693,291.68
20200131,DIV02,PG04,REG02,SEG01,372420.81,1100,338.56
20200131,DIV02,PG04,REG02,SEG02,275780.04,1122,245.79
20200131,DIV02,PG04,REG02,SEG03,141785.64,295,480.63
20200131,DIV02,PG04,REG02,SEG04,146591.59,869,168.69
20200131,DIV02,PG04,REG03,SEG01,379517.79,2910,130.42
20200131,DIV02,PG04,REG03,SEG02,294020.54,665,442.14
20200131,DIV02,PG04,REG03,SEG03,140017.79,414,338.21
20200131,DIV02,PG04,REG03,SEG04,143553.13,1208,118.84
20200131,DIV02,PG04,REG04,SEG01,232481.9,794,292.8
20200131,DIV02,PG04,REG04,SEG02,174581.59,604,289.04
20200131,DIV02,PG04,REG04,SEG03,81975.91,418,196.11
